,HorseName,HorseOrigin,Age,YearOfBirth,Color,Sex,H_SeasonalStake,H_TotalStake,H_1st,H_2nd,H_3rd,H_Total,H_Trainer,CurrentRating,StartofTheSeasonRating
403,活力爆發,紐西蘭,7,2015,棗／棕,閹,Not Available,"$432,068",0,1,2,17,Not Available,20,NotAvailable
404,活力爵士,愛爾蘭,7,2015,棗,閹,Not Available,"$364,200",0,1,0,17,Not Available,34,NotAvailable
405,活力長勝,澳洲,7,2015,棗,閹,Not Available,"$1,449,210",2,0,1,17,Not Available,52,NotAvailable
406,活影,愛爾蘭,7,2015,棗,閹,Not Available,"$2,272,800",2,1,2,13,Not Available,72,NotAvailable
407,浩大星輝,澳洲,7,2015,棕,閹,Not Available,$0,0,0,0,5,Not Available,38,NotAvailable
408,深愛,澳洲,7,2015,棗,閹,Not Available,"$3,346,040",2,6,5,45,Not Available,39,NotAvailable
409,添滿意,紐西蘭,7,2015,棗,閹,Not Available,"$36,234,250",4,3,4,22,Not Available,123,NotAvailable
410,清新動力,紐西蘭,7,2015,棗,閹,Not Available,"$2,289,300",2,3,3,38,Not Available,34,NotAvailable
411,清福,紐西蘭,7,2015,棗,閹,Not Available,"$1,827,820",1,2,3,38,Not Available,33,NotAvailable
412,湛江最醒,愛爾蘭,7,2015,棕,閹,Not Available,"$2,635,335",1,4,5,37,Not Available,47,NotAvailable
413,滂薄無比,日本,7,2015,棕,雄,Not Available,"$6,600,000",0,1,0,1,Not Available,,NotAvailable
414,漸信龍駒,澳洲,7,2015,棕,閹,Not Available,"$642,325",0,1,3,30,Not Available,16,NotAvailable
415,潮州勇士,美國,7,2015,棗,閹,Not Available,$0,0,0,0,3,Not Available,46,NotAvailable
416,澳國勳章,愛爾蘭,7,2015,棗,雄,Not Available,"$500,000",0,0,0,1,Not Available,,NotAvailable
417,激賞,澳洲,7,2015,栗,閹,Not Available,"$10,422,775",4,7,7,51,Not Available,81,NotAvailable
418,瀟灑哥,法國,7,2015,栗,閹,Not Available,$0,0,0,0,7,Not Available,21,NotAvailable
419,瀟灑王子,澳洲,7,2015,棗,閹,Not Available,"$5,847,800",6,6,11,60,Not Available,57,NotAvailable
420,火天大有,英國,7,2015,棗,閹,Not Available,"$2,189,375",3,1,3,53,Not Available,15,NotAvailable
421,火旺勝馬,澳洲,7,2015,棕,閹,Not Available,"$226,205",0,0,2,5,Not Available,45,NotAvailable
422,火箭砲,澳洲,7,2015,栗,閹,Not Available,$0,0,0,0,10,Not Available,16,NotAvailable
423,為善聚樂,愛爾蘭,7,2015,棗,閹,Not Available,"$2,354,925",2,6,5,46,Not Available,21,NotAvailable
424,為食格格,澳洲,7,2015,棗,閹,Not Available,"$2,480,070",3,1,2,14,Not Available,70,NotAvailable
425,烽煙四喜,澳洲,7,2015,棗,閹,Not Available,"$9,796,950",9,3,2,44,Not Available,102,NotAvailable
426,無價寶,澳洲,7,2015,棗,閹,Not Available,"$1,997,425",2,2,2,28,Not Available,41,NotAvailable
427,無可估計,紐西蘭,7,2015,棗,閹,Not Available,$0,0,0,0,9,Not Available,32,NotAvailable
428,無忌,紐西蘭,7,2015,棕,閹,Not Available,$0,0,0,0,11,Not Available,18,NotAvailable
429,無極戰士,澳洲,7,2015,栗,閹,Not Available,"$733,350",1,0,2,17,Not Available,34,NotAvailable
430,無限商機,紐西蘭,7,2015,棕,閹,Not Available,"$1,674,150",1,2,2,27,Not Available,53,NotAvailable
431,無限驚喜,法國,7,2015,棗,閹,Not Available,"$936,000",2,0,0,18,Not Available,36,NotAvailable
432,熱血鬥士,澳洲,7,2015,棗,閹,Not Available,"$6,051,450",5,3,2,35,Not Available,74,NotAvailable
433,燈胆精英,紐西蘭,7,2015,灰,閹,Not Available,"$1,712,780",1,2,3,37,Not Available,34,NotAvailable
434,燦爛承傳,美國,7,2015,棗,雄,Not Available,$0,0,0,0,4,Not Available,69,NotAvailable
435,爆騷,澳洲,7,2015,棗,閹,Not Available,"$5,468,520",6,4,5,45,Not Available,51,NotAvailable
436,爪皇烈焰,澳洲,7,2015,棕,閹,Not Available,"$5,309,718",4,6,9,67,Not Available,37,NotAvailable
437,爪皇轟天,紐西蘭,7,2015,栗,閹,Not Available,"$2,710,500",3,2,6,39,Not Available,47,NotAvailable
438,牛精大哥,澳洲,7,2015,棗,閹,Not Available,"$3,075,745",4,3,2,35,Not Available,43,NotAvailable
439,牛精輝煌,愛爾蘭,7,2015,栗,閹,Not Available,"$3,056,745",3,3,4,51,Not Available,36,NotAvailable
440,牛精麒麟,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,6,Not Available,40,NotAvailable
441,牛角仔,紐西蘭,7,2015,棗,閹,Not Available,"$7,517,700",5,5,1,27,Not Available,75,NotAvailable
442,特登,澳洲,7,2015,栗,閹,Not Available,$0,0,0,0,5,Not Available,34,NotAvailable
443,特駒聯盟,紐西蘭,7,2015,棗,閹,Not Available,"$3,162,480",3,4,2,25,Not Available,56,NotAvailable
444,犀利時光,澳洲,7,2015,棗,閹,Not Available,"$172,500",0,0,1,4,Not Available,75,NotAvailable
445,狂舞派,紐西蘭,7,2015,棗,閹,Not Available,"$4,628,250",3,6,1,31,Not Available,65,NotAvailable
446,獎金王者,澳洲,7,2015,栗,閹,Not Available,$0,0,0,0,8,Not Available,26,NotAvailable
447,獨角寶寶,愛爾蘭,7,2015,栗,閹,Not Available,"$2,108,990",3,1,1,30,Not Available,55,NotAvailable
448,獵狐章者,澳洲,7,2015,栗,閹,Not Available,"$2,263,600",3,2,5,42,Not Available,35,NotAvailable
449,玄天勇驥,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,4,Not Available,40,NotAvailable
450,玩斗財星,紐西蘭,7,2015,棗,閹,Not Available,"$1,116,625",1,3,1,26,Not Available,19,NotAvailable
451,珍珠鳳凰,紐西蘭,7,2015,棗／棕,閹,Not Available,"$1,900,380",1,5,1,34,Not Available,34,NotAvailable
452,理想回報,英國,7,2015,棗,閹,Not Available,"$4,037,358",2,7,6,53,Not Available,38,NotAvailable
453,瑪神好運,澳洲,7,2015,棗,雌,Not Available,"$1,055,650",1,2,1,21,Not Available,39,NotAvailable
454,環保時代,紐西蘭,7,2015,栗,閹,Not Available,"$392,875",0,1,1,14,Not Available,27,NotAvailable
455,環翠戰士,紐西蘭,7,2015,棗,閹,Not Available,"$2,847,270",3,3,1,29,Not Available,57,NotAvailable
456,甜心寶駒,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,5,Not Available,35,NotAvailable
457,甜睡密碼,南非,7,2015,棗,閹,Not Available,"$330,000",0,1,0,2,Not Available,72,NotAvailable
458,甜酒杯,澳洲,7,2015,栗,閹,Not Available,"$576,345",1,0,1,15,Not Available,38,NotAvailable
459,生生發發,紐西蘭,7,2015,棗,閹,Not Available,"$307,400",0,1,0,19,Not Available,29,NotAvailable
460,當旺猴王,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,3,Not Available,46,NotAvailable
461,發財先生,英國,7,2015,棗,閹,Not Available,"$2,370,950",2,2,1,20,Not Available,76,NotAvailable
462,發財寶,澳洲,7,2015,栗,閹,Not Available,"$6,341,385",4,5,10,41,Not Available,77,NotAvailable
463,發財福星,英國,7,2015,棗,閹,Not Available,"$2,863,015",2,2,0,12,Not Available,62,NotAvailable
464,發贏喜,紐西蘭,7,2015,深棗,閹,Not Available,"$958,600",1,1,0,8,Not Available,57,NotAvailable
465,白鷺盛世,紐西蘭,7,2015,棗,閹,Not Available,"$318,750",0,1,0,15,Not Available,24,NotAvailable
466,白鷺飛翔,紐西蘭,7,2015,棗,閹,Not Available,"$5,450,325",5,3,6,44,Not Available,58,NotAvailable
467,百勝龍,澳洲,7,2015,棗,閹,Not Available,"$6,821,350",5,3,2,37,Not Available,75,NotAvailable
468,百寶袋,紐西蘭,7,2015,栗,閹,Not Available,"$1,315,895",1,2,4,22,Not Available,40,NotAvailable
469,百步穿雲,愛爾蘭,7,2015,栗,閹,Not Available,"$14,062,700",6,7,7,43,Not Available,107,NotAvailable
470,皇家魅力,澳洲,7,2015,棕,閹,Not Available,"$1,244,275",0,4,4,29,Not Available,25,NotAvailable
471,皇帝賽,澳洲,7,2015,棗,閹,Not Available,"$1,126,870",1,0,3,17,Not Available,47,NotAvailable
472,皇者峰範,法國,7,2015,棗,閹,Not Available,$0,0,0,0,3,Not Available,86,NotAvailable
473,皇龍司令,法國,7,2015,棗,閹,Not Available,"$2,889,540",3,5,4,42,Not Available,35,NotAvailable
474,皓月千里,愛爾蘭,7,2015,棗,閹,Not Available,"$33,845",0,0,0,6,Not Available,46,NotAvailable
475,盛勢,英國,7,2015,灰／沙,閹,Not Available,"$3,760,725",6,1,5,76,Not Available,20,NotAvailable
476,盛大光輝,英國,7,2015,棗,閹,Not Available,"$5,324,800",3,7,0,42,Not Available,70,NotAvailable
477,相中飛揚,澳洲,7,2015,棗,閹,Not Available,"$60,000",0,0,0,8,Not Available,37,NotAvailable
478,真勇士,澳洲,7,2015,棗,閹,Not Available,"$1,154,880",2,0,0,10,Not Available,53,NotAvailable
479,真妙星,澳洲,7,2015,棗,閹,Not Available,"$4,119,615",4,1,0,33,Not Available,68,NotAvailable
480,真精采,澳洲,7,2015,棗,閹,Not Available,"$459,325",0,2,0,14,Not Available,49,NotAvailable
481,真開心,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,4,Not Available,47,NotAvailable
482,眾善積福,英國,7,2015,棗,閹,Not Available,"$452,875",1,0,0,17,Not Available,23,NotAvailable
483,石破天驚,澳洲,7,2015,栗,閹,Not Available,"$36,400",0,0,0,3,Not Available,49,NotAvailable
484,神亮金剛,澳洲,7,2015,栗,閹,Not Available,"$2,870,950",4,0,1,14,Not Available,78,NotAvailable
485,神光勇士,澳洲,7,2015,栗,閹,Not Available,$0,0,0,0,4,Not Available,41,NotAvailable
